mes;equipamento;faixa;data;hora;minutos_intervalo;qtd_0a10km;qtd_11a20km;qtd_21a30km;qtd_31a40km;qtd_41a50km;qtd_51a60km;qtd_61a70km;qtd_71a80km;qtd_81a90km;qtd_91a100km;qtd_acimade100km
6;"FS002REC";1;"2020-06-01";5;"16-30";1;2;0;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";5;"31-45";2;2;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";5;"46-59";0;1;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";6;"0-15";1;1;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";6;"16-30";0;4;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";6;"31-45";1;6;8;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";6;"46-59";0;14;8;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";7;"0-15";1;9;14;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";7;"16-30";0;12;11;2;2;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";7;"31-45";0;11;6;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";7;"46-59";0;18;15;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";8;"0-15";1;7;13;0;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";8;"16-30";0;12;11;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";8;"31-45";0;19;10;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";8;"46-59";1;13;16;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";9;"0-15";0;12;11;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";9;"16-30";0;10;19;3;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";9;"31-45";2;9;16;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";9;"46-59";1;16;9;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";10;"0-15";0;15;15;2;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";10;"16-30";0;9;10;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";10;"31-45";0;9;14;5;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";10;"46-59";0;10;6;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";11;"0-15";0;10;20;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";11;"16-30";0;6;6;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";11;"31-45";0;3;1;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";11;"46-59";0;2;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";12;"0-15";0;1;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";12;"16-30";0;5;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-01";12;"31-45";0;9;6;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";7;"0-15";0;11;11;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";7;"16-30";1;15;11;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";7;"31-45";0;15;7;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";7;"46-59";1;16;8;3;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";8;"0-15";1;14;12;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";8;"16-30";0;11;8;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";8;"31-45";1;16;9;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";8;"46-59";1;14;11;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";9;"0-15";0;12;4;7;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";9;"16-30";0;15;10;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";9;"31-45";0;14;11;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";9;"46-59";0;18;13;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";10;"0-15";0;9;19;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";10;"16-30";1;10;9;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";10;"31-45";1;15;8;2;0;0;0;0;0;0;0
